,Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,Unnamed: 11,Latitude,Longitude,Avg Temp (in F)
0,I1,2019-08-24,17:00,Parma,Juventus,0,1,A,SER12,SER7,Parma,,44.801485,10.3279036,79
1,I1,2019-08-24,19:45,Fiorentina,Napoli,3,4,A,SER4,SER11,Florence,,43.7695604,11.2558136,85
2,I1,2019-08-25,17:00,Udinese,Milan,1,0,H,SER18,SER10,Udine,,46.0710668,13.2345794,82
3,I1,2019-08-25,19:45,Cagliari,Brescia,0,1,A,SER3,SER2,Cagliari,,39.2238411,9.1216613,81
4,I1,2019-08-25,19:45,Roma,Genoa,3,3,D,SER13,SER5,Rome,,41.9027835,12.4963655,84
5,I1,2019-08-25,19:45,Sampdoria,Lazio,0,3,A,SER14,SER8,Genoa,,44.4056499,8.946256,81
6,I1,2019-08-25,19:45,Spal,Atalanta,2,3,A,SER16,SER0,Ferrara,,44.8381237,11.619787,81
7,I1,2019-08-25,19:45,Torino,Sassuolo,2,1,H,SER17,SER15,Turin,,45.0703393,7.686864,83
8,I1,2019-08-25,19:45,Verona,Bologna,1,1,D,SER19,SER1,Verona,,45.43838419999999,10.9916215,81
9,I1,2019-08-26,19:45,Inter,Lecce,4,0,H,SER6,SER9,Milan,,45.4642035,9.189982,85
10,I1,2019-08-30,19:45,Bologna,Spal,1,0,H,SER1,SER16,Bologna,,44.494887,11.3426162,85
11,I1,2019-08-31,17:00,Milan,Brescia,1,0,H,SER10,SER2,Milan,,45.4642035,9.189982,84
12,I1,2019-08-31,19:45,Juventus,Napoli,4,3,H,SER7,SER11,Turin,,45.0703393,7.686864,81
13,I1,2019-09-01,17:00,Lazio,Roma,1,1,D,SER8,SER13,Rome,,41.9027835,12.4963655,83
14,I1,2019-09-01,19:45,Atalanta,Torino,2,3,A,SER0,SER17,Bergamo,,45.6982642,9.6772698,81
15,I1,2019-09-01,19:45,Cagliari,Inter,1,2,A,SER3,SER6,Cagliari,,39.2238411,9.1216613,77
16,I1,2019-09-01,19:45,Genoa,Fiorentina,2,1,H,SER5,SER4,Genoa,,44.4056499,8.946256,81
17,I1,2019-09-01,19:45,Lecce,Verona,0,1,A,SER9,SER19,Lecce,,40.3515155,18.1750161,85
18,I1,2019-09-01,19:45,Sassuolo,Sampdoria,4,1,H,SER15,SER14,Sassuolo,,44.54433,10.7847741,82
19,I1,2019-09-01,19:45,Udinese,Parma,1,3,A,SER18,SER12,Udine,,46.0710668,13.2345794,82
20,I1,2019-09-14,14:00,Fiorentina,Juventus,0,0,D,SER4,SER7,Florence,,43.7695604,11.2558136,81
21,I1,2019-09-14,17:00,Napoli,Sampdoria,2,0,H,SER11,SER14,Naples,,40.8517983,14.26812,84
22,I1,2019-09-14,19:45,Inter,Udinese,1,0,H,SER6,SER18,Milan,,45.4642035,9.189982,80
23,I1,2019-09-15,11:30,Genoa,Atalanta,1,2,A,SER5,SER0,Milan,,45.4642035,9.189982,80
24,I1,2019-09-15,14:00,Brescia,Bologna,3,4,A,SER2,SER1,Brescia,,45.5415526,10.2118019,78
25,I1,2019-09-15,14:00,Parma,Cagliari,1,3,A,SER12,SER3,Parma,,44.801485,10.3279036,77
26,I1,2019-09-15,14:00,Spal,Lazio,2,1,H,SER16,SER8,Ferrara,,44.8381237,11.619787,79
27,I1,2019-09-15,17:00,Roma,Sassuolo,4,2,H,SER13,SER15,Rome,,41.9027835,12.4963655,80
28,I1,2019-09-15,19:45,Verona,Milan,0,1,A,SER19,SER10,Verona,,45.43838419999999,10.9916215,77
29,I1,2019-09-16,19:45,Torino,Lecce,1,2,A,SER17,SER9,Turin,,45.0703393,7.686864,81
30,I1,2019-09-20,19:45,Cagliari,Genoa,3,1,H,SER3,SER5,Cagliari,,39.2238411,9.1216613,79
31,I1,2019-09-21,14:00,Udinese,Brescia,0,1,A,SER18,SER2,Udine,,46.0710668,13.2345794,65
32,I1,2019-09-21,17:00,Juventus,Verona,2,1,H,SER7,SER19,Turin,,45.0703393,7.686864,66
33,I1,2019-09-21,19:45,Milan,Inter,0,2,A,SER10,SER6,Milan,,45.4642035,9.189982,70
34,I1,2019-09-22,11:30,Sassuolo,Spal,3,0,H,SER15,SER16,Sassuolo,,44.54433,10.7847741,57
35,I1,2019-09-22,14:00,Bologna,Roma,1,2,A,SER1,SER13,Bologna,,44.494887,11.3426162,58
